,use_electricity,use_gaz,use_steam,has_second_use,has_third_use,ratio_parking,ratio_build,ratio_prime_ty_gfa,ratio_second_ty_gfa,ratio_third_ty_gfa,building_age,total_ty_gfa,sum_energy_use,sum_types_use,floor_surface,building_surface,SiteEnergyUse(kBtu)
use_electricity,1.0,0.07,0.02,0.07,0.03,0.05,-0.05,-0.04,0.04,0.02,0.0,-0.01,0.18,0.06,-0.06,-0.04,0.1
use_gaz,0.07,1.0,-0.1,-0.03,-0.01,-0.12,0.12,0.02,-0.02,-0.01,0.02,0.0,0.88,-0.02,0.15,-0.02,0.13
use_steam,0.02,-0.1,1.0,0.04,0.06,0.02,-0.02,-0.02,0.02,0.05,0.12,0.19,0.37,0.05,-0.08,0.2,0.23
has_second_use,0.07,-0.03,0.04,1.0,0.51,0.29,-0.29,-0.85,0.85,0.48,-0.08,0.18,-0.0,0.94,-0.01,0.18,0.22
has_third_use,0.03,-0.01,0.06,0.51,1.0,0.18,-0.18,-0.62,0.54,0.95,-0.03,0.17,0.02,0.77,0.01,0.18,0.21
ratio_parking,0.05,-0.12,0.02,0.29,0.18,1.0,-1.0,-0.31,0.32,0.16,-0.36,0.36,-0.09,0.29,0.08,0.4,0.33
ratio_build,-0.05,0.12,-0.02,-0.29,-0.18,-1.0,1.0,0.31,-0.32,-0.16,0.36,-0.36,0.09,-0.29,-0.08,-0.4,-0.33
ratio_prime_ty_gfa,-0.04,0.02,-0.02,-0.85,-0.62,-0.31,0.31,1.0,-0.99,-0.63,0.06,-0.16,0.0,-0.88,0.02,-0.17,-0.19
ratio_second_ty_gfa,0.04,-0.02,0.02,0.85,0.54,0.32,-0.32,-0.99,1.0,0.53,-0.07,0.17,-0.01,0.84,-0.02,0.18,0.19
ratio_third_ty_gfa,0.02,-0.01,0.05,0.48,0.95,0.16,-0.16,-0.63,0.53,1.0,0.01,0.14,0.02,0.73,0.0,0.15,0.18
building_age,0.0,0.02,0.12,-0.08,-0.03,-0.36,0.36,0.06,-0.07,0.01,1.0,-0.29,0.07,-0.07,-0.28,-0.27,-0.27
total_ty_gfa,-0.01,0.0,0.19,0.18,0.17,0.36,-0.36,-0.16,0.17,0.14,-0.29,1.0,0.09,0.2,0.52,0.92,0.72
sum_energy_use,0.18,0.88,0.37,-0.0,0.02,-0.09,0.09,0.0,-0.01,0.02,0.07,0.09,1.0,0.01,0.1,0.07,0.24
sum_types_use,0.06,-0.02,0.05,0.94,0.77,0.29,-0.29,-0.88,0.84,0.73,-0.07,0.2,0.01,1.0,-0.0,0.2,0.25
floor_surface,-0.06,0.15,-0.08,-0.01,0.01,0.08,-0.08,0.02,-0.02,0.0,-0.28,0.52,0.1,-0.0,1.0,0.49,0.33
building_surface,-0.04,-0.02,0.2,0.18,0.18,0.4,-0.4,-0.17,0.18,0.15,-0.27,0.92,0.07,0.2,0.49,1.0,0.68
SiteEnergyUse(kBtu),0.1,0.13,0.23,0.22,0.21,0.33,-0.33,-0.19,0.19,0.18,-0.27,0.72,0.24,0.25,0.33,0.68,1.0
