building_age,BuildingType,floor_surface,has_third_use,Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,ratio_build,SecondLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),sum_energy_use,sum_types_use,ThirdLargestPropertyUseTypeGFA,total_ty_gfa,use_steam
89,NonResidential,7369.5,0,DOWNTOWN,1.0,12,Hotel,1.0,0.0,7226362.5,3,1,0.0,88434.0,1
20,NonResidential,9415.09090909091,1,DOWNTOWN,1.0,11,Hotel,0.8545468590077825,15064.0,8387933.0,2,3,4622.0,103566.0,0
47,NonResidential,23319.756097560974,0,DOWNTOWN,1.0,41,Hotel,0.7942517074395206,0.0,72587024.0,3,1,0.0,756493.0,1
90,NonResidential,6132.0,0,DOWNTOWN,1.0,10,Hotel,1.0,0.0,6794584.0,3,1,0.0,61320.0,1
36,NonResidential,9754.444444444445,1,DOWNTOWN,1.0,18,Hotel,0.6468846110035311,68009.0,14172606.0,2,3,0.0,191454.0,0
17,Nonresidential COS,48644.0,0,DOWNTOWN,1.0,2,Other,0.6176506866211661,0.0,12086616.0,2,1,0.0,88830.0,0
90,NonResidential,7546.181818181818,0,DOWNTOWN,1.0,11,Hotel,1.0,0.0,5758795.0,2,1,0.0,81352.0,0
90,NonResidential,12845.125,0,DOWNTOWN,1.0,8,Other,1.0,0.0,6298131.5,3,1,0.0,102761.0,1
112,NonResidential,10932.266666666666,0,DOWNTOWN,1.0,15,Hotel,1.0,0.0,13723820.0,2,1,0.0,163984.0,0
47,NonResidential,13923.90909090909,0,DOWNTOWN,1.0,11,Hotel,0.8741275634454797,0.0,16016644.0,3,1,0.0,133884.0,1
18,NonResidential,13327.04,0,DOWNTOWN,1.0,25,Hotel,0.8164303551276202,0.0,26941110.0,3,1,0.0,336640.0,1
88,NonResidential,7223.222222222223,0,DOWNTOWN,1.0,9,Hotel,1.0,0.0,6596057.5,3,1,0.0,65009.0,1
36,NonResidential,9574.30303030303,0,DOWNTOWN,1.0,33,Hotel,0.8176938269104168,57600.0,22325364.0,3,2,0.0,353111.0,1
94,NonResidential,8380.90909090909,0,DOWNTOWN,1.0,11,Hotel,0.7266514806378133,25200.0,10750010.0,3,2,0.0,92590.0,1
12,Nonresidential COS,37454.545454545456,1,DOWNTOWN,1.0,11,Other,0.8616504854368932,49000.0,18588860.0,2,3,1074.0,414987.0,1
86,NonResidential,17318.5,1,DOWNTOWN,1.0,6,Other,1.0,40000.0,9956396.0,3,3,0.0,130000.0,1
33,NonResidential,14867.17857142857,0,DOWNTOWN,1.0,28,Hotel,0.7958110026640659,85000.0,33556756.0,2,2,0.0,433329.0,0
109,NonResidential,11490.4,1,DOWNTOWN,1.0,5,Mixed Use Property,1.0,15505.0,7606084.5,3,3,9741.0,41688.0,1
100,NonResidential,10435.2,0,DOWNTOWN,1.0,10,Hotel,1.0,0.0,10154608.0,3,1,0.0,104352.0,1
100,NonResidential,54036.0,0,DOWNTOWN,1.0,10,Other,1.0,0.0,44984468.0,2,1,0.0,537150.0,0
31,NonResidential,20277.57894736842,0,DOWNTOWN,1.0,19,Other,1.0,0.0,47859812.0,2,1,0.0,385274.0,0
55,SPS-District K-12,28114.0,0,SOUTHEAST,1.0,2,K-12 School,1.0,0.0,1539478.5,2,1,0.0,58916.0,0
15,NonResidential,14765.333333333334,0,NORTHEAST,1.0,6,Hotel,0.6547543796279574,30586.0,3663534.5,2,2,0.0,88592.0,0
88,NonResidential,18084.714285714286,0,DOWNTOWN,1.0,7,University,1.0,0.0,11343686.0,2,1,0.0,125000.0,0
86,NonResidential,33612.0,0,DOWNTOWN,1.0,2,Other,1.0,0.0,1310236.625,1,1,0.0,67224.0,0
25,NonResidential,19834.5,1,EAST,1.0,8,Hotel,0.8090385439511961,42000.0,5328051.5,2,3,4500.0,159176.0,0
15,NonResidential,17186.6,0,DOWNTOWN,1.0,10,Hotel,0.7772625184736947,0.0,11061916.0,2,1,0.0,128909.0,0
61,SPS-District K-12,126351.0,0,Central,1.0,1,K-12 School,1.0,0.0,0.0,0,1,0.0,126351.0,0
38,NonResidential,13682.0,0,DOWNTOWN,1.0,5,Hotel,0.7631925157140769,0.0,4456714.5,2,1,0.0,47994.0,0
67,SPS-District K-12,80322.5,0,NORTH,1.0,2,K-12 School,1.0,0.0,6779173.0,2,1,0.0,164229.0,0
27,SPS-District K-12,25791.0,0,MAGNOLIA / QUEEN ANNE,1.0,2,K-12 School,1.0,0.0,0.0,1,1,0.0,55166.0,0
110,NonResidential,29087.333333333332,1,LAKE UNION,1.0,3,Small- and Mid-Sized Office,1.0,18153.0,4145920.5,2,3,4307.0,63403.0,0
22,NonResidential,20467.75,0,NORTHEAST,1.0,4,Hotel,1.0,0.0,6668568.5,2,1,0.0,81871.0,0
61,NonResidential,55178.0,0,NORTHEAST,1.0,2,Self-Storage Facility,1.0,0.0,318364.8125,2,1,0.0,26225.0,0
24,Campus,164945.0,1,GREATER DUWAMISH,1.0,3,Mixed Use Property,1.0,639931.0,448385312.0,2,3,459748.0,1856706.0,0
55,NonResidential,357047.5,1,GREATER DUWAMISH,3.0,2,Warehouse,1.0,276000.0,44731160.0,1,3,71000.0,963000.0,0
26,SPS-District K-12,27493.0,0,MAGNOLIA / QUEEN ANNE,1.0,2,K-12 School,1.0,0.0,1650279.25,2,1,0.0,54986.0,0
66,SPS-District K-12,87782.5,0,NORTHEAST,1.0,2,K-12 School,1.0,0.0,6399127.5,2,1,0.0,182861.0,0
55,NonResidential,47450.0,0,BALLARD,1.0,2,Small- and Mid-Sized Office,1.0,39314.0,6186461.5,2,2,0.0,94900.0,0
116,NonResidential,26277.0,0,GREATER DUWAMISH,1.0,2,Small- and Mid-Sized Office,1.0,7849.0,2951331.25,2,2,0.0,58878.0,0
62,NonResidential,58338.333333333336,0,NORTHWEST,1.0,3,K-12 School,1.0,0.0,6994740.5,2,1,0.0,175015.0,0
105,NonResidential,23528.666666666668,1,DOWNTOWN,1.0,3,Self-Storage Facility,1.0,28197.0,2158629.0,2,3,3859.0,70495.0,0
47,NonResidential,13842.083333333334,0,DOWNTOWN,1.0,24,Hotel,0.3800006020288372,0.0,16163194.0,2,1,0.0,348630.0,0
43,NonResidential,33623.0,1,DOWNTOWN,1.0,5,Large Office,1.0,65676.0,9536161.0,1,3,493.0,169531.0,0
96,NonResidential,28714.0,0,DOWNTOWN,1.0,2,Other,1.0,5681.0,1247362.0,2,2,0.0,57428.0,0
106,NonResidential,7425.0,0,DOWNTOWN,1.0,8,Small- and Mid-Sized Office,1.0,4993.0,5071974.0,1,2,0.0,39940.0,0
90,NonResidential,26274.5,1,DOWNTOWN,1.0,2,Mixed Use Property,1.0,23500.0,15026196.0,2,3,5459.0,52459.0,0
86,NonResidential,4931.7,1,DOWNTOWN,1.0,20,Hotel,0.8981791268730863,10043.0,4841347.5,2,3,5000.0,98634.0,0
34,NonResidential,29241.529411764706,1,DOWNTOWN,1.0,34,Hotel,0.8524519921304511,117668.0,80469216.0,3,3,0.0,1111880.0,1
31,NonResidential,10164.285714285714,1,DOWNTOWN,1.0,7,Hotel,1.0,13730.0,5348309.0,2,3,9604.0,64674.0,0
