,use_electricity,use_gaz,use_steam,has_second_use,has_third_use,ratio_parking,ratio_build,ratio_prime_ty_gfa,ratio_second_ty_gfa,ratio_third_ty_gfa,building_age,total_ty_gfa,sum_energy_use,sum_types_use,floor_surface,building_surface,SiteEnergyUse(kBtu)
use_electricity,1.0,0.07232716997496151,0.024918573889446665,0.06805373156678357,0.031578876552442015,0.04557250262708556,-0.04557250262708556,-0.04468529291119441,0.043993616012010114,0.024185485607625484,0.0024226772644095644,-0.008611768069727938,0.1801228322447567,0.0628959802884801,-0.06332984187204801,-0.03749981832405206,0.10358618160639921
use_gaz,0.07232716997496151,1.0,-0.09590070434553583,-0.02775439979036896,-0.008528264956637818,-0.11548542950854983,0.11548542950854983,0.022576769855343553,-0.02410407738852772,-0.010649694328831732,0.02198545875998927,0.003500444235917047,0.8790718230007019,-0.02393707459283758,0.1518463757554244,-0.0234302242453247,0.13420235253821577
use_steam,0.024918573889446665,-0.09590070434553583,1.0,0.035957067056818684,0.05743352038564368,0.02387668818870662,-0.02387668818870662,-0.023693701189002058,0.020854226793612825,0.04908501649215882,0.12474889374761355,0.19247576478107642,0.370997149195217,0.04928407507865482,-0.08049822844723153,0.1992535203851349,0.2254741338664315
has_second_use,0.06805373156678357,-0.02775439979036896,0.035957067056818684,1.0,0.5052271627940725,0.29331785786777076,-0.29331785786777076,-0.8520996357169276,0.8520995602029968,0.4787719384492365,-0.0795388234349018,0.17747079410104719,-0.0017373542607109058,0.9404401115375669,-0.006473078546006428,0.18096455683305518,0.22352344327686652
has_third_use,0.031578876552442015,-0.008528264956637818,0.05743352038564368,0.5052271627940725,1.0,0.18022434057388256,-0.18022434057388256,-0.6201637826977187,0.5374484819536828,0.9489808494622214,-0.028489267921145756,0.16604652351582896,0.022154115970889933,0.7685162293588855,0.009138687796984431,0.1750394058920794,0.20620828047686873
ratio_parking,0.04557250262708556,-0.11548542950854983,0.02387668818870662,0.29331785786777076,0.18022434057388256,1.0,-1.0,-0.3098840344109901,0.32052050047977354,0.15961845884205095,-0.3594793936683488,0.357230341876204,-0.09212991336223371,0.2884664379830552,0.07585098828077237,0.39701658536967327,0.3267089574327107
ratio_build,-0.04557250262708556,0.11548542950854983,-0.02387668818870662,-0.29331785786777076,-0.18022434057388256,-1.0,1.0,0.3098840344109901,-0.32052050047977354,-0.15961845884205095,0.3594793936683488,-0.357230341876204,0.09212991336223371,-0.2884664379830552,-0.07585098828077237,-0.39701658536967327,-0.3267089574327107
ratio_prime_ty_gfa,-0.04468529291119441,0.022576769855343553,-0.023693701189002058,-0.8520996357169276,-0.6201637826977187,-0.3098840344109901,0.3098840344109901,1.0,-0.9880716561625822,-0.626181495625366,0.058640452037925825,-0.16051850180176433,0.004476061222296117,-0.8761191646548813,0.01965870910973059,-0.1736166197316358,-0.1866172344363821
ratio_second_ty_gfa,0.043993616012010114,-0.02410407738852772,0.020854226793612825,0.8520995602029968,0.5374484819536828,0.32052050047977354,-0.32052050047977354,-0.9880716561625822,1.0,0.5257967140524978,-0.07488553815820795,0.167524092365362,-0.0072211487245460865,0.8433916895925186,-0.016587679737841674,0.18039907304727987,0.1879162734437452
ratio_third_ty_gfa,0.024185485607625484,-0.010649694328831732,0.04908501649215882,0.4787719384492365,0.9489808494622214,0.15961845884205095,-0.15961845884205095,-0.626181495625366,0.5257967140524978,1.0,0.005696703046435701,0.1413399210449649,0.016244975270943963,0.7298746144478381,0.0013926420963072208,0.14923653109039348,0.17821117612848492
building_age,0.0024226772644095644,0.02198545875998927,0.12474889374761355,-0.0795388234349018,-0.028489267921145756,-0.3594793936683488,0.3594793936683488,0.058640452037925825,-0.07488553815820795,0.005696703046435701,1.0,-0.2945999232468158,0.07414477281862572,-0.07019408863728575,-0.2772050595312174,-0.27064410588623605,-0.2652281058517435
total_ty_gfa,-0.008611768069727938,0.003500444235917047,0.19247576478107642,0.17747079410104719,0.16604652351582896,0.357230341876204,-0.357230341876204,-0.16051850180176433,0.167524092365362,0.1413399210449649,-0.2945999232468158,1.0,0.08821377618064076,0.1969906698971574,0.519155772098515,0.9233194160444167,0.716567878894735
sum_energy_use,0.1801228322447567,0.8790718230007019,0.370997149195217,-0.0017373542607109058,0.022154115970889933,-0.09212991336223371,0.09212991336223371,0.004476061222296117,-0.0072211487245460865,0.016244975270943963,0.07414477281862572,0.08821377618064076,1.0,0.007439153428543894,0.09640807701468386,0.06558517887656948,0.23862610425363517
